Environment,Prior,Obs_Index,Mean_Error,CI_95
hyperbolic_temporal_discount,True,0,0.31810863256752786,0.07471301709161536
hyperbolic_temporal_discount,True,1,0.5311996848901754,0.21782400428998205
hyperbolic_temporal_discount,True,3,0.914763579070941,0.14942603418323075
hyperbolic_temporal_discount,True,5,0.744290737212823,0.29885206836646155
hyperbolic_temporal_discount,True,7,0.829527158141882,0.217824004289982
hyperbolic_temporal_discount,True,10,0.8721453686064116,0.14942603418323075
hyperbolic_temporal_discount,False,0,0.9573817895354704,0.2988520683664615
hyperbolic_temporal_discount,False,1,0.9573817895354704,0.07471301709161537
hyperbolic_temporal_discount,False,3,1.0852364209290593,0.09150438450914807
hyperbolic_temporal_discount,False,5,1.2130910523226475,0.23626330487259356
hyperbolic_temporal_discount,False,7,1.0852364209290593,0.09150438450914807
hyperbolic_temporal_discount,False,10,1.0426182104645296,0.07471301709161537
location_finding,True,0,0.29805598917955234,0.4954451881129075
location_finding,True,1,0.0018913863335882075,0.2279486777489183
location_finding,True,3,-0.029746344686071506,0.18909668489546463
location_finding,True,5,-0.04857834651432443,0.2007966662160644
location_finding,True,7,1.229295508433464,2.264249342207259
location_finding,True,10,0.5931616951082487,1.0744002676138038
location_finding,False,0,0.6328265077595094,0.7583733773322898
location_finding,False,1,2.2805968228943474,3.0349774295721295
location_finding,False,3,3.0068912212361387,4.355366251661923
location_finding,False,5,1.4685196785699444,2.2874064524778057
location_finding,False,7,0.9568172435678111,1.5312860583608054
location_finding,False,10,0.8579933586766811,0.9156019534191301
death_process,True,0,0.5359170737190595,1.0167188637342055
death_process,True,1,-0.30584521736672576,0.5413952812735736
death_process,True,3,-0.9301847456492087,0.13931756740617104
death_process,True,5,-1.0641374027131918,0.06468998142312923
death_process,True,7,-1.07025011247693,0.04526137115623141
death_process,True,10,-1.0637158365225892,0.05193074052064752
death_process,False,0,-0.3078476567720882,0.5872845021882069
death_process,False,1,-0.9168000190975756,0.1804870818215996
death_process,False,3,-1.0395811721105892,0.06147066433247553
death_process,False,5,-1.082475532004406,0.0328505872076585
death_process,False,7,-1.0755196898594626,0.032912357464030706
death_process,False,10,-1.0422159608018555,0.025030313840077926
irt,True,0,0.11999999999999997,0.14024618354878676
irt,True,1,-0.11999999999999997,0.1787795066555448
irt,True,3,-0.039999999999999994,0.13118829216054304
irt,True,5,0.0,0.15679999999999997
irt,True,7,-0.19999999999999996,0.15679999999999997
irt,True,10,-0.24,0.20444218742715506
irt,False,0,0.07999999999999999,0.2848413453134919
irt,False,1,0.07999999999999999,0.1787795066555448
irt,False,3,-0.039999999999999994,0.204442187427155
irt,False,5,0.07999999999999999,0.21036927532318014
irt,False,7,-0.07999999999999999,0.21036927532318014
irt,False,10,0.0,0.2479225685572009
dugongs,True,0,-0.04050584019625031,0.029841776272859277
dugongs,True,1,-0.029092927592089694,0.04734733095015303
dugongs,True,3,-0.05874401532938835,0.0260633934964281
dugongs,True,5,-0.08680261247063528,0.0036695327116937925
dugongs,True,7,-0.08422327095944533,0.005088633863604955
dugongs,True,10,-0.08493039442204846,0.008411054171890364
dugongs,False,0,-0.039364039338912096,0.031631096130112474
dugongs,False,1,-0.026022860419565103,0.033193717309338885
dugongs,False,3,-0.058310839177894605,0.026038694190526013
dugongs,False,5,-0.08308583132746138,0.00845294414666702
dugongs,False,7,-0.0824051643796204,0.008270128559587768
dugongs,False,10,-0.08309377546402626,0.008095258026519348
survival,True,0,0.04387089540531188,0.2649771727200759
survival,True,1,0.3173110587784353,0.2709324595005749
survival,True,3,0.18059097709187358,0.34363546861072153
survival,True,5,0.3173110587784353,0.15978724725848878
survival,True,7,0.271737698216248,0.19569861159361387
survival,True,10,0.36288441934062254,0.2036895729485774
survival,False,0,0.3173110587784353,0.15978724725848878
survival,False,1,0.18059097709187352,0.23292793804350007
survival,False,3,0.22616433765406074,0.357295146807548
survival,False,5,0.45403114046499704,0.12632291059633005
survival,False,7,0.3173110587784353,0.09784930579680692
survival,False,10,0.27173769821624794,0.23292793804350007
peregrines,True,0,1.9523426260522299,0.4331074597506286
peregrines,True,1,0.4058738732701034,0.3118557262215741
peregrines,True,3,0.5899005006613393,0.4246889588506067
peregrines,True,5,-0.4860636046127592,0.16508585479057825
peregrines,True,7,-0.5608102726509572,0.17900160656522865
peregrines,True,10,-0.5685927273340562,0.18022014259381797
peregrines,False,0,1.301776981762854,0.22342163820469235
peregrines,False,1,-0.06291123203633128,0.12473944022254695
peregrines,False,3,0.0926933468497215,0.17702600604986815
peregrines,False,5,-0.6057269534138803,0.04108717112604115
peregrines,False,7,-0.6384186048560079,0.05140277744066397
peregrines,False,10,-0.6475326872647491,0.026665302155764906
morals,True,0,0.401040384879687,0.13273055571076023
morals,True,1,0.684332094733889,0.3051565910698559
morals,True,3,0.48198087340945905,0.17378509102231768
morals,True,5,0.48198087340945905,0.17378509102231768
morals,True,7,0.5224511176743452,0.1808812575976428
morals,True,10,0.3605701406148011,0.08689254551115892
emotion,True,0,1.0396570200611972,0.41039158373415124
emotion,True,1,1.0638378297158075,0.33807061904843155
emotion,True,3,0.9982042035104375,0.7287534731097395
emotion,True,5,1.1778330752303974,0.3729380176227999
emotion,True,7,1.2158314904019274,0.4766828944941305
emotion,True,10,1.2227402931603872,0.5594357069352314
lotka_volterra,True,0,0.37682055769475914,0.0826428922116054
lotka_volterra,True,1,-0.2773744038617231,0.07585840217249185
lotka_volterra,True,3,-0.3239772470290482,0.07774590686041163
lotka_volterra,True,5,-0.3064370720144937,0.08448805357483564
lotka_volterra,True,7,-0.29447009101041166,0.09963010756799777
lotka_volterra,True,10,-0.3098562094442314,0.08977688383123765
lotka_volterra,False,0,0.7483668250595906,0.045981232270943154
lotka_volterra,False,1,-0.3930552202345157,0.020871732295337068
lotka_volterra,False,3,-0.3571542772222698,0.030069795227445257
lotka_volterra,False,5,-0.39362507647280537,0.03117782752454158
lotka_volterra,False,7,-0.35772413346055937,0.07705926363090718
lotka_volterra,False,10,-0.4232576008638656,0.027495251108186493
