Environment,Prior,Obs_Index,Mean_EIG,CI_95
hyperbolic_temporal_discount,True,0,0.012940769058229586,0.02536390735417328
hyperbolic_temporal_discount,True,1,0.01633259798280525,0.03201285968069704
hyperbolic_temporal_discount,True,3,0.01731223254889152,0.033931975719635576
hyperbolic_temporal_discount,True,5,0.009465611383445467,0.018552593379956704
hyperbolic_temporal_discount,True,7,0.016697469622507014,0.03272704023974306
hyperbolic_temporal_discount,False,0,0.07072986840221855,0.012916265034207267
hyperbolic_temporal_discount,False,1,0.08506397780833817,0.0074909494579657645
hyperbolic_temporal_discount,False,3,0.0732865683471701,0.023468206459091395
hyperbolic_temporal_discount,False,5,0.07407270698429676,0.02985806424972238
hyperbolic_temporal_discount,False,7,0.06632632091876442,0.023609919143691073
location_finding,True,0,0.0,0.0
location_finding,True,1,0.0,0.0
location_finding,True,3,0.0,0.0
location_finding,True,5,0.0,0.0
location_finding,True,7,0.0,0.0
location_finding,False,0,0.0,0.0
location_finding,False,1,0.0,0.0
location_finding,False,3,0.0,0.0
location_finding,False,5,0.0,0.0
location_finding,False,7,0.0,0.0
death_process,True,0,0.14050191478225926,0.0017737203236865885
death_process,True,1,0.02148276987687575,0.0068414762768955
death_process,True,3,0.007213601343900017,0.00309317182962991
death_process,True,5,0.004293963129849345,0.0011802608714690617
death_process,True,7,0.0031339464307003377,0.0006165442697603483
death_process,False,0,0.13964755123367584,0.0007795786782287146
death_process,False,1,0.007636970284756472,0.005742635897747032
death_process,False,3,0.005052579565251132,0.0036978367143442013
death_process,False,5,0.0027350039234190905,0.0018774249661860692
death_process,False,7,0.004694524759590886,0.00246790710191993
irt,True,0,0.29403748723891127,0.35620533428791457
irt,True,1,0.33264134864141587,0.41849539963213006
irt,True,3,0.15326515344350905,0.04971465337945071
irt,True,5,0.11164742864051597,0.02061689427722103
irt,True,7,0.11727085088528406,0.03692589982495593
irt,False,0,0.11937926203108672,0.01096206211226609
irt,False,1,0.13025384169034615,0.012523364745982458
irt,False,3,0.12090822151602629,0.022376424119041168
irt,False,5,0.12400473401126663,0.009206847329853916
irt,False,7,0.11620435840919077,0.01543006517293383
dugongs,True,0,1.0333529253526328,0.012735556005081415
dugongs,True,1,1.153757026410057,0.15856732367802007
dugongs,True,3,0.26393819374526356,0.12842606751390728
dugongs,True,5,0.126138950573821,0.025415276362193262
dugongs,True,7,0.08850353466633215,0.03360402431558878
dugongs,False,0,1.029554137053968,0.02042869810691112
dugongs,False,1,1.1110386103918035,0.17555954451660874
dugongs,False,3,0.22872936928254847,0.0410566707471296
dugongs,False,5,0.12462430441400855,0.019369150952082363
dugongs,False,7,0.09376323404677366,0.02360047616052947
survival,True,0,0.18649030289009738,0.04274933678039993
survival,True,1,0.15315928558806172,0.07105671298881559
survival,True,3,0.1586249478163424,0.07338920306929131
survival,True,5,0.059569564018847436,0.06872004241168933
survival,True,7,0.02611104520464298,0.05137363880084316
survival,False,0,0.1305040286917111,0.021249562654727924
survival,False,1,0.14781147788621005,0.07435173237593122
survival,False,3,0.16708626245566807,0.07757000905814415
survival,False,5,0.09222918150067723,0.09375350348480342
survival,False,7,0.0926166683290498,0.08673442549629207
peregrines,True,0,2.3773585884069757,0.03185143439156337
peregrines,True,1,0.9350497511315173,0.03146420310717816
peregrines,True,3,0.1724878427191411,0.1443199070648803
peregrines,True,5,0.14519192828259608,0.0802072094226494
peregrines,True,7,0.12733199589155755,0.023557507404420346
peregrines,False,0,2.0147628766719325,0.8175817977252774
peregrines,False,1,0.47093060016911065,0.2445437982699833
peregrines,False,3,0.2742585169637245,0.10140258330145248
peregrines,False,5,0.11944054705418815,0.09424310552962087
peregrines,False,7,0.07467853895374704,0.06254624761804238
morals,True,0,0.011905536683350492,0.015962593322548006
morals,True,1,0.01858184337797623,0.01716726119316289
morals,True,3,0.00866285071897839,0.011154994186723327
morals,True,5,0.00030442607996177516,0.012848201029812314
morals,True,7,0.005108348053740857,0.006567240242218122
emotion,True,0,1.0700592669726574,0.09900835174937138
emotion,True,1,0.26600616702485924,0.13491128262825308
emotion,True,3,0.13634253286141257,0.32554467868361625
emotion,True,5,-1.0936123960709916,1.893051684365203
emotion,True,7,-5.513057332493974,6.33779247568983
