Environment,Norm μ,Norm σ,With Prior (Mean),With Prior (95% CI),No Prior (Mean),No Prior (95% CI)
hyperbolic_temporal_discount,0.5000,0.4693,0.8295,±0.1398,1.0852,±0.1494
location_finding,12.5900,38.0300,66.6385,±88.1856,5.5616,±9.0825
death_process,222.2998,189.7685,-0.4422,±0.7185,-0.0620,±0.6649
irt,0.5000,0.5000,-0.1200,±0.1788,-0.1600,±0.1312
dugongs,0.9059,9.2342,-0.0867,±0.0051,-0.0452,±0.0277
survival,0.2604,0.4389,0.2262,±0.2526,0.2262,±0.2526
peregrines,10991.5464,15725.1157,0.0367,±0.5847,0.9405,±1.0643
morals,0.4240,0.4942,0.9676,±0.1419,N/A,N/A
emotion,1.5851,0.7237,2.0898,±0.3570,N/A,N/A
lotka_volterra,8.3274,17.5483,0.0634,±0.2217,-0.0249,±0.1240
