Environment,Prior,Obs_Index,Mean_EIG,CI_95
hyperbolic_temporal_discount,True,0,0.015096742884009747,0.009001736968259023
hyperbolic_temporal_discount,True,1,0.019269392051200304,0.014398783027181013
hyperbolic_temporal_discount,True,3,0.07138515132792153,0.023859982103657067
hyperbolic_temporal_discount,True,5,0.0828491511546879,0.019637487378134772
hyperbolic_temporal_discount,True,7,0.07561354145601615,0.03516891611162841
hyperbolic_temporal_discount,False,0,0.0788156800461278,0.009170823189048416
hyperbolic_temporal_discount,False,1,0.06629791936154412,0.023486552238953302
hyperbolic_temporal_discount,False,3,0.06177096517165004,0.026587394467155093
hyperbolic_temporal_discount,False,5,0.04312273272879563,0.025928917050021764
hyperbolic_temporal_discount,False,7,0.03215716644247322,0.01894997326731717
location_finding,True,0,0.0,0.0
location_finding,True,1,0.0,0.0
location_finding,True,3,0.0,0.0
location_finding,True,5,0.0,0.0
location_finding,True,7,0.0,0.0
location_finding,False,0,0.0,0.0
location_finding,False,1,0.0,0.0
location_finding,False,3,0.0,0.0
location_finding,False,5,0.0,0.0
location_finding,False,7,0.0,0.0
death_process,True,0,0.03859333053634889,0.0010903123653734663
death_process,True,1,0.03995279049177562,0.02081565665038797
death_process,True,3,0.010512454492472685,0.0038123463950406984
death_process,True,5,0.004958587524026373,0.00143496954366426
death_process,True,7,0.0032049714864312425,0.000764374443038463
death_process,False,0,0.19319356144223496,0.045886909886623695
death_process,False,1,0.014750569034169032,0.005483543682313331
death_process,False,3,0.002135424875432716,0.00027396399810605067
death_process,False,5,0.0030868917186915945,0.001579126297033521
death_process,False,7,0.0019820540015879204,0.0017226375395002812
irt,True,0,0.12556672281471076,0.008640056419136333
irt,True,1,0.11338960835339482,0.007199892287511738
irt,True,3,0.11662575444156983,0.01894717363008417
irt,True,5,0.11256632282755688,0.01576531018946095
irt,True,7,0.13413067902401357,0.010589426629691197
irt,False,0,0.12174864240500943,0.024396338015483778
irt,False,1,0.12945566251336751,0.016424464376781526
irt,False,3,0.11899189060992425,0.009080354511021503
irt,False,5,0.11339178443166972,0.007075989998302595
irt,False,7,0.1223825726212727,0.022845155777689953
dugongs,True,0,1.0712995188206371,0.10793151561338266
dugongs,True,1,1.0987574505842188,0.31546346028689376
dugongs,True,3,0.3189731372559548,0.16826645941833315
dugongs,True,5,0.15082163370508866,0.09849080974922951
dugongs,True,7,0.13340233880674068,0.09985415566705587
dugongs,False,0,0.9954492073327132,0.027884183967893002
dugongs,False,1,1.2824471311827297,0.12316046216952417
dugongs,False,3,0.32479400198330993,0.08414675265385119
dugongs,False,5,0.13752859738602702,0.027165944119389135
dugongs,False,7,0.10650157512933361,0.015045317761270325
survival,True,0,0.17103665463946657,0.03728422098571012
survival,True,1,0.1289114681496874,0.08500545712555072
survival,True,3,0.0956155912432728,0.07922086081875912
survival,True,5,0.0913970238454674,0.07668523587555413
survival,True,7,0.03104505791737176,0.028910685270950143
survival,False,0,0.19353721633228363,0.04295335372647573
survival,False,1,0.1321178970182922,0.09284222468872386
survival,False,3,0.07392442390155939,0.08893431070761834
survival,False,5,0.07883151719442968,0.08205916094168693
survival,False,7,0.05314733452992284,0.04620429821437193
peregrines,True,0,0.36078350191593167,0.013488061120470789
peregrines,True,1,0.4926448383360174,0.913538130880331
peregrines,True,3,0.6296307814107589,0.3071821504246717
peregrines,True,5,0.30258141162964713,0.08213557319662448
peregrines,True,7,0.07181437432889,0.04533169914234664
peregrines,False,0,0.35979705445947496,0.024029848787849622
peregrines,False,1,0.020436543845461383,0.003863103225577942
peregrines,False,3,0.8103132709724559,0.03732608978648615
peregrines,False,5,0.30379694058983825,0.09474117722016664
peregrines,False,7,0.22889089472501495,0.09092933924980075
morals,True,0,0.020480882183513384,0.003382540555063941
morals,True,1,0.017143395022861403,0.012131739312966704
morals,True,3,-0.0020449521809321196,0.009623699404452008
morals,True,5,0.009643579468017534,0.012036056493563995
morals,True,7,0.003880686358887818,0.012723820444813521
emotion,True,0,0.8374835279615384,0.06916450313938462
emotion,True,1,0.3698570131033295,0.08999432179820557
emotion,True,3,0.1206831540598062,0.14111356192021718
emotion,True,5,-0.10044813709845422,0.1590055248627042
emotion,True,7,-4.879669189151814,5.753907806528862
