Environment,Prior,Obs_Index,Mean_EIG,CI_95
hyperbolic_temporal_discount,True,0,0.004212001339724444,0.001110029658266825
hyperbolic_temporal_discount,True,1,0.07718196589179684,0.06280815881370375
hyperbolic_temporal_discount,True,3,0.2666268332831001,0.09230574404350042
hyperbolic_temporal_discount,True,5,0.1379898484104851,0.09557833319030737
hyperbolic_temporal_discount,True,7,0.06494777019024671,0.06362978631859983
hyperbolic_temporal_discount,False,0,0.07403588622792676,0.005549806421653928
hyperbolic_temporal_discount,False,1,0.05817253970764026,0.033405571274590345
hyperbolic_temporal_discount,False,3,0.05413854245445016,0.03408903854209343
hyperbolic_temporal_discount,False,5,0.019958379440634343,0.015133178294422202
hyperbolic_temporal_discount,False,7,0.04247539799989363,0.03604171370572507
location_finding,True,0,0.0,0.0
location_finding,True,1,0.0,0.0
location_finding,True,3,0.0,0.0
location_finding,True,5,0.0,0.0
location_finding,True,7,0.0,0.0
location_finding,False,0,0.0,0.0
location_finding,False,1,0.0,0.0
location_finding,False,3,0.0,0.0
location_finding,False,5,0.0,0.0
location_finding,False,7,0.0,0.0
death_process,True,0,0.18291287441003734,0.03493707417914352
death_process,True,1,0.010970119896083364,0.005359064189344942
death_process,True,3,0.005897867828210737,0.00507590035250579
death_process,True,5,0.0030977590677343536,0.002237070200022057
death_process,True,7,0.003687783341223987,0.001089104162544863
death_process,False,0,0.2126907819688703,0.009928999334135205
death_process,False,1,0.01084158177717582,0.0019957739556840976
death_process,False,3,0.002231024182057703,0.0003421182654650715
death_process,False,5,0.0026815380154816284,0.0022050477558656924
death_process,False,7,0.0028954479559450364,0.001469198142668476
irt,True,0,0.11176667027872955,0.012731333061709156
irt,True,1,0.12988973960540134,0.013476163649197067
irt,True,3,0.12096503631883615,0.015743190501176434
irt,True,5,0.11696694610887028,0.012756926104636869
irt,True,7,0.12974306275385603,0.006065987618488274
irt,False,0,0.11839181864706373,0.010079195350265479
irt,False,1,0.11334629565085158,0.004357909571501134
irt,False,3,0.11583146091735579,0.015641202711505396
irt,False,5,0.12338271867118539,0.005821609040050741
irt,False,7,0.11306321070674628,0.014736097310642068
dugongs,True,0,1.234386559070822,0.17225438178408536
dugongs,True,1,1.1478178406921082,0.20621244057415256
dugongs,True,3,0.3044252139636186,0.07615546236996887
dugongs,True,5,0.15675551562611909,0.03202065772551529
dugongs,True,7,0.10937264263383288,0.039089734404892135
dugongs,False,0,1.3324819476037557,0.04218345108961596
dugongs,False,1,0.6875303751911757,0.1888502148989498
dugongs,False,3,0.44925285990199315,0.23857150128569543
dugongs,False,5,0.3484464068455935,0.26209130929002344
dugongs,False,7,0.08459501377652529,0.02926462638268075
survival,True,0,0.1500989803818182,0.02574044293897444
survival,True,1,0.15842573282583067,0.07887712500081383
survival,True,3,0.12234132816949428,0.09562625762306524
survival,True,5,0.04653267832927273,0.05838341333816118
survival,True,7,0.11351056765624468,0.08418959042479306
survival,False,0,0.14159206980436498,0.04178938222827141
survival,False,1,0.20716834623676403,0.030925582935305257
survival,False,3,0.13424847878828555,0.09499954641371422
survival,False,5,0.07378937016679224,0.0651119979262944
survival,False,7,0.07900709803152582,0.05206542395628479
peregrines,True,0,2.3991400597022667,0.03749854861491437
peregrines,True,1,0.44450051595276796,0.19650773413291092
peregrines,True,3,0.5425324071474198,0.3437618398495447
peregrines,True,5,0.374699848547512,0.22926483562803993
peregrines,True,7,0.2591174805552887,0.0715796920410577
peregrines,False,0,2.3847039603676827,0.029741836573157862
peregrines,False,1,0.3880428062399475,0.0871310022815831
peregrines,False,3,0.2687114668303185,0.27536440457459005
peregrines,False,5,0.38502599218089806,0.21429510490254297
peregrines,False,7,0.1426518789345494,0.09247151604132303
morals,True,0,0.011750468651936331,0.007980596827368467
morals,True,1,0.0070307464734668135,0.015998883986776805
morals,True,3,0.012270127082524836,0.01831692172564148
morals,True,5,0.01583901558008775,0.006832880975998369
morals,True,7,0.005247250967518971,0.003791180108863965
emotion,True,0,0.5085808078740239,0.17886870218048762
emotion,True,1,0.5907605917771809,0.12737177463179888
emotion,True,3,0.13351496883856137,0.12681365334410807
emotion,True,5,-0.08348440307005842,0.0914737441349862
emotion,True,7,-5.254198160263668,6.243761925774124
