Environment,Norm μ,Norm σ,Prior Error (First Obs),Prior Error (First Obs CI),Prior Error (Last Obs),Prior Error (Last Obs CI),No Prior Error (First Obs),No Prior Error (First Obs CI),No Prior Error (Last Obs),No Prior Error (Last Obs CI)
hyperbolic_temporal_discount,0.5000,0.4693,1.0000,±0.0000,0.7443,±0.2478,0.8295,±0.3810,1.0000,±0.0000
location_finding,12.5900,38.0300,2.5929,±3.6283,2.4838,±3.6580,1.4049,±2.6606,1.8605,±2.2097
death_process,222.2998,189.7685,1.0422,±1.7232,-1.0710,±0.0592,0.1669,±0.3644,-0.7724,±0.2300
irt,0.5000,0.5000,0.0000,±0.0000,0.0000,±0.2217,0.0000,±0.0000,-0.1200,±0.1788
dugongs,0.9059,9.2342,0.0275,±0.0470,-0.0874,±0.0024,-0.0166,±0.0214,-0.0822,±0.0077
survival,0.2604,0.4389,0.0894,±0.4484,0.4085,±0.0799,0.5452,±0.3914,0.4540,±0.3342
peregrines,10991.5464,15725.1157,1.9688,±0.8357,0.0968,±1.1405,3.4502,±1.2117,-0.2679,±0.1841
morals,0.4240,0.4942,0.4415,±0.1943,0.5225,±0.1809,N/A,N/A,N/A,N/A
emotion,1.5851,0.7237,1.2089,±0.5221,1.0327,±0.6660,N/A,N/A,N/A,N/A
lotka_volterra,8.3274,17.5483,1.2208,±0.1120,-0.4181,±0.0311,0.7905,±0.0970,-0.4466,±0.0121
