Environment_,Prior_,CI_95_0,CI_95_1,CI_95_3,CI_95_5,CI_95_7,CI_95_10,Mean_Value_0,Mean_Value_1,Mean_Value_3,Mean_Value_5,Mean_Value_7,Mean_Value_10
death_process,False,0.010378348914793403,0.001683371090877166,0.004094548715015519,0.00230876043627328,0.0006124756104777475,0.0006924671585144958,0.22838356862176523,0.00539156473002365,0.005764791764958267,0.003115484546374067,0.0012641931111287358,0.0018313851585083044
death_process,True,0.010131324848946147,0.007880756466525068,0.0031375008816161287,0.001280830156036046,0.0007343700085974367,0.00024204066108801078,0.22665505568700378,0.007161954992920669,0.004955453595032515,0.0023330611863184142,0.0007188409310018386,0.0006853892411749515
dugongs,True,0.02762988261728171,0.048469765054474874,0.0879115863567734,0.06835747891063972,0.06025607018423373,0.06265772727122398,0.034897834640770634,-0.08657665731619366,0.27924095381564745,0.1314638162869135,0.1781001319568661,0.2047674438008933
hyperbolic_temporal_discount,False,0.011940281303394936,0.01041093482206246,0.017185688559409596,0.00928750612795028,0.01987126113726734,0.0062336962746516065,0.6224510922975381,0.6452835967402734,0.6284700991138206,0.6577515346227677,0.6558410770034033,0.6574173482577729
hyperbolic_temporal_discount,True,0.017842573853239063,0.042059507689470484,0.026457919834300413,0.02224786859941092,0.0035315408904754205,0.021038656542805973,0.5187151832398251,0.6313628396326587,0.5830772186941882,0.5358593407350934,0.5756872578381109,0.5901329103503995
location_finding,False,16.18474255004612,1.1114105559089118,16.561366198462522,17.17847795153477,19.016915383537153,15.784811079897139,14.108133881939622,1.1024239984557789,15.702615576501538,10.845424447854885,17.541899835193565,11.044416976494807
location_finding,True,16.18474255004612,16.53160373484212,4.896478768244466,1.824481120958672,19.87357743893425,4.975255687991498,14.108133881939622,14.64278794527504,3.9484067091788355,2.321464707416725,27.212252135187715,4.57698289002961
morals,True,0.010832180575498762,0.007358297929203644,0.01679592748869924,0.016449212976532537,0.012440831123993875,0.006978116217504368,0.041061876992663685,0.03540913221025185,0.05005976274391684,0.05399746199355561,0.04748301824444653,0.06758307891922044
peregrines,True,0.014069392565171715,0.0410940127164239,0.035493744779246196,0.3198517463472694,0.1884261428216869,0.20532896252481386,0.056617755406459656,0.6513819891623431,0.918131452386229,0.4482179598647834,0.25586605465287154,0.3939193338683037
survival,True,0.041897375508168196,0.038280643114585684,0.08542657175938421,0.02211563724047515,0.06444010394623917,0.044976923808761234,0.09995165781120474,0.07885741329357383,0.10651204454071958,0.04090288340193355,0.1044759924770539,0.05859845271987196
